PASS index-evidence assets=47 runs=1 index_docs=1 stored_index_docs=1
  evidence-index backup_dir=.github/db-backup/stored-snapshot entries=4583
  .github/task-runs/2026-07-08-ieda-netlist-compat/evidence-index.md [index-doc] refreshed status=indexed
  .github/task-runs/2026-07-08-ieda-netlist-compat/check-bpu-macro-contract.log [log] log evidence; size=219 bytes; lines=3; PASS=6; tail=PASS bpu-spec facts=16 PASS macro-boundary facts=8 PASS bpu macro placeholder contract bpu_spec=npc/rv64/design/specs/ooo-branch-direction-predictor.md macro_spec=npc/rv64/design/specs/yosys-macro-boundary-contracts.md
  .github/task-runs/2026-07-08-ieda-netlist-compat/check-macro-contracts-final.log [log] log evidence; size=848 bytes; lines=9; PASS=18; tail=PASS spec contract rows modules=4 path=npc/rv64/design/specs/yosys-macro-boundary-contracts.md PASS rtl module=OooFetchPacketCache file=npc/rv64/vsrc/cache/OooFetchPacketCache.v PASS rtl module=OooDataWordCache file=npc/rv64/vsrc/cache/OooDataWordCache.v PA...
  .github/task-runs/2026-07-08-ieda-netlist-compat/check-macro-contracts-nodefparam.log [log] log evidence; size=848 bytes; lines=9; PASS=18; tail=PASS spec contract rows modules=4 path=npc/rv64/design/specs/yosys-macro-boundary-contracts.md PASS rtl module=OooFetchPacketCache file=npc/rv64/vsrc/cache/OooFetchPacketCache.v PASS rtl module=OooDataWordCache file=npc/rv64/vsrc/cache/OooDataWordCache.v PA...
  .github/task-runs/2026-07-08-ieda-netlist-compat/check-macro-contracts-noparaminst.log [log] log evidence; size=848 bytes; lines=9; PASS=18; tail=PASS spec contract rows modules=4 path=npc/rv64/design/specs/yosys-macro-boundary-contracts.md PASS rtl module=OooFetchPacketCache file=npc/rv64/vsrc/cache/OooFetchPacketCache.v PASS rtl module=OooDataWordCache file=npc/rv64/vsrc/cache/OooDataWordCache.v PA...
  .github/task-runs/2026-07-08-ieda-netlist-compat/check-paraminst-grep.log [log] log evidence; size=47 bytes; lines=1; PASS=2; tail=PASS no parameterized cache blackbox instances
  .github/task-runs/2026-07-08-ieda-netlist-compat/check-rtl-style-final.log [log] log evidence; size=226 bytes; lines=3; PASS=2; tail=make: Entering directory '/home/lyg/PA/ysyx-workbench/npc/rv64' [check-rtl-style] PASS: 可综合 RTL 全部为 .v 且无 SV always_comb/always_ff/logic 关键字 make: Leaving directory '/home/lyg/PA/ysyx-workbench/npc/rv64'
  .github/task-runs/2026-07-08-ieda-netlist-compat/check-rtl-style.log [log] log evidence; size=226 bytes; lines=3; PASS=2; tail=make: Entering directory '/home/lyg/PA/ysyx-workbench/npc/rv64' [check-rtl-style] PASS: 可综合 RTL 全部为 .v 且无 SV always_comb/always_ff/logic 关键字 make: Leaving directory '/home/lyg/PA/ysyx-workbench/npc/rv64'
  .github/task-runs/2026-07-08-ieda-netlist-compat/ieda-sta-smoke-noparaminst-2400s.log [log] log evidence; size=3836681 bytes; lines=30031; markers=<none>; tail=398 StaAnalyze.cc:565] analyze timing path end vertex 60671 total 63233 start I20260708 09:22:49.548662 417398 StaAnalyze.cc:599] analyze timing path end vertex 60671 total 63233 end I20260708 09:22:49.548666 417398 StaAnalyze.cc:565] analyze timing path en...
  .github/task-runs/2026-07-08-ieda-netlist-compat/ieda-sta-smoke-noparaminst.log [log] log evidence; size=3843854 bytes; lines=30041; markers=<none>; tail=565] analyze timing path end vertex 60701 total 63233 start I20260708 09:11:59.229643 407165 StaAnalyze.cc:599] analyze timing path end vertex 60701 total 63233 end I20260708 09:11:59.229647 407165 StaAnalyze.cc:565] analyze timing path end vertex 60711 tot...
  .github/task-runs/2026-07-08-ieda-netlist-compat/ieda-sta-smoke.log [log] log evidence; size=4592 bytes; lines=50; PANIC=2; tail=make: Entering directory '/home/lyg/PA/ysyx-workbench/npc/rv64' make[1]: Entering directory '/home/lyg/PA/ysyx-workbench/yosys-sta' set -o pipefail && ./bin/iEDA -script /home/lyg/PA/ysyx-workbench/yosys-sta/scripts/sta.tcl /home/lyg/PA/ysyx-workbench/yosys...
  ... 27 more
